FullName;Price;Name;ProductionDate;Klm;CubicCapacity;Horsepower;GasType;GearBox;Age
Mercedes-Benz CLA 45 AMG '22 AMG CLA 45s 4MATIC+;93500.0;Mercedes-Benz;2022-01-01;47100.0;2000.0;480.0;Βενζίνη;Αυτόματο;2
Volvo XC 60 '18 2.0 D4 ΕΛΛΗΝΙΚΗΣ ΑΝΤΙΠΡΟΣΩΠΕΙΑΣ;34800.0;Volvo;2018-08-01;181000.0;2000.0;190.0;Πετρέλαιο;Αυτόματο;6
Jeep Commander '07 LIMITED EDITION 3.0 CDR V6;12000.0;Jeep;2007-01-01;270000.0;3000.0;270.0;Πετρέλαιο;Αυτόματο;17
Volkswagen Caddy '13 MAXI;11500.0;Volkswagen;2013-07-01;195000.0;1598.0;105.0;Πετρέλαιο;Manual;11
Volvo XC 60 '18 2.0 D4 ΕΛΛΗΝΙΚΗΣ ΑΝΤΙΠΡΟΣΩΠΕΙΑΣ;34800.0;Volvo;2018-08-01;181000.0;2000.0;190.0;Πετρέλαιο;Αυτόματο;6
Opel Astra '16  1.6 CDTI Selection;10200.0;Opel;2016-03-01;181000.0;1598.0;136.0;Πετρέλαιο;Manual;8
Volkswagen Caddy '12 TDI;7900.0;Volkswagen;2012-08-01;280800.0;1598.0;110.0;Πετρέλαιο;Manual;12
Mercedes-Benz C 180 '17 AMG LINE ΙΔΙΩΤΗΣ;33300.0;Mercedes-Benz;2017-07-01;155500.0;1600.0;136.0;Πετρέλαιο;Αυτόματο;7
Mercedes-Benz C 200 '15 AMG LINE;31300.0;Mercedes-Benz;2015-08-01;105000.0;1598.0;136.0;Πετρέλαιο;Αυτόματο;9
Mercedes-Benz C 200 '16 BLUETEC AMG LINE;28700.0;Mercedes-Benz;2016-09-01;129500.0;1600.0;136.0;Πετρέλαιο;Αυτόματο;8
